ApartmentID,BuildingID,RoomCapacity,FloorNumber,MaxRooms
4,1,5,8,3
4,2,3,8,4
1,3,6,3,2
3,4,4,3,1
2,5,5,4,3
1,6,6,7,3
4,7,5,4,3
3,8,4,10,4
1,9,3,10,2
4,10,4,7,2
5,11,4,3,1
4,12,3,7,1
2,13,3,1,3
4,14,5,6,1
2,15,6,7,3
3,16,6,7,2
3,17,3,7,2
5,18,5,2,4
4,19,3,5,4
2,20,3,2,4
2,21,6,10,1
2,22,4,2,1
2,23,6,6,4
3,24,6,2,1
1,25,5,4,3
4,26,5,9,1
5,27,5,3,4
3,28,3,7,4
4,29,6,1,2
1,30,5,1,1
4,31,4,10,1
2,32,4,5,2
2,33,6,3,3
1,34,6,10,4
4,35,4,10,2
2,36,4,5,3
3,37,6,8,3
3,38,4,7,1
5,39,4,7,2
5,40,4,5,3
5,41,3,9,1
4,42,5,10,2
5,43,5,8,2
1,44,6,5,2
2,45,4,6,1
4,46,5,8,2
4,47,3,8,1
5,48,3,1,3
4,49,4,3,1
5,50,5,9,2
2,51,5,10,4
4,52,5,5,2
5,53,5,6,1
4,54,5,4,3
4,55,6,6,2
4,56,4,2,4
1,57,6,10,4
2,58,5,9,2
2,59,3,8,2
5,60,6,3,3
3,61,4,9,3
5,62,4,8,1
4,63,6,5,4
5,64,4,5,4
5,65,5,2,1
5,66,6,9,3
2,67,5,5,3
1,68,3,6,3
5,69,6,10,2
2,70,5,10,1
2,71,3,5,4
1,72,3,4,3
2,73,3,6,1
4,74,5,2,1
4,75,6,7,4
1,76,3,3,4
1,77,5,9,1
2,78,3,1,1
4,79,4,6,3
3,80,4,4,2
2,81,6,7,1
5,82,5,1,3
3,83,5,8,1
1,84,4,5,1
1,85,3,1,1
2,86,3,4,1
2,87,5,3,4
4,88,3,1,1
1,89,4,4,4
1,90,5,1,2
3,91,3,6,4
5,92,6,5,3
2,93,6,2,3
2,94,4,9,4
2,95,5,9,3
2,96,4,7,1
5,97,6,2,3
5,98,3,9,4
1,99,3,2,2
2,100,3,8,4
1,101,6,10,4
5,102,3,4,1
1,103,5,10,4
4,104,6,9,4
4,105,6,5,2
3,106,5,2,1
1,107,3,6,3
5,108,5,7,2
4,109,6,3,4
4,110,5,2,3
5,111,5,8,2
5,112,5,8,4
2,113,4,10,2
1,114,3,6,2
2,115,3,7,1
1,116,5,10,2
4,117,3,4,1
4,118,4,8,4
2,119,4,6,4
5,120,4,8,4
2,121,6,8,2
1,122,3,8,2
5,123,3,8,2
4,124,5,9,1
5,125,6,9,4
1,126,4,10,4
1,127,4,9,3
4,128,4,5,2
5,129,6,2,4
1,130,4,8,3
4,131,3,4,2
5,132,4,8,2
5,133,3,9,2
5,134,3,1,3
2,135,6,9,1
2,136,4,5,1
3,137,3,7,2
1,138,4,6,1
4,139,5,6,1
5,140,5,5,1
5,141,5,6,3
2,142,4,2,2
2,143,5,8,2
2,144,6,5,3
5,145,4,8,3
2,146,4,4,4
3,147,4,8,4
5,148,3,1,2
5,149,3,1,4
3,150,6,9,1
5,151,4,1,1
2,152,6,9,4
2,153,5,7,3
5,154,3,9,4
1,155,6,10,3
1,156,5,7,4
2,157,6,8,4
3,158,5,9,3
1,159,4,4,3
5,160,5,1,1
4,161,4,3,2
1,162,5,3,4
1,163,3,4,2
4,164,5,2,2
3,165,6,6,1
1,166,6,1,1
4,167,5,3,4
3,168,6,7,2
3,169,5,3,3
4,170,4,3,3
4,171,5,8,2
5,172,3,8,3
2,173,5,9,4
5,174,5,6,4
1,175,3,1,4
4,176,6,1,2
2,177,4,4,4
4,178,3,6,1
4,179,4,4,1
1,180,3,8,4
2,181,4,8,3
3,182,3,3,1
2,183,5,4,1
5,184,6,1,1
3,185,5,10,1
5,186,3,6,2
3,187,3,9,4
2,188,4,7,4
4,189,6,9,3
4,190,4,3,1
5,191,5,6,2
1,192,6,10,1
4,193,3,5,1
1,194,6,7,1
3,195,6,1,1
5,196,3,6,1
1,197,5,6,2
4,198,6,8,2
5,199,6,8,4
3,200,5,7,4
2,201,4,4,4
4,202,6,3,4
3,203,6,7,1
5,204,4,1,2
4,205,3,2,1
1,206,4,8,1
2,207,3,5,2
5,208,3,8,3
2,209,4,8,4
3,210,3,10,3
2,211,5,8,2
1,212,3,7,3
2,213,5,7,3
4,214,5,4,2
1,215,5,2,1
1,216,4,1,3
5,217,3,10,1
3,218,4,1,1
4,219,3,10,4
2,220,6,1,3
2,221,4,3,1
5,222,5,3,3
5,223,3,2,2
1,224,6,2,3
4,225,3,6,4
5,226,6,4,4
4,227,5,2,2
1,228,3,7,2
2,229,5,8,3
1,230,4,1,2
5,231,6,2,3
2,232,5,4,4
3,233,5,1,3
2,234,4,2,3
3,235,3,5,2
4,236,6,7,1
1,237,6,7,1
3,238,4,4,3
3,239,4,4,2
3,240,4,7,1
2,241,6,8,4
3,242,5,1,2
5,243,5,8,4
5,244,6,2,3
2,245,4,6,3
5,246,5,1,1
2,247,4,3,2
5,248,4,4,1
2,249,3,4,3
2,250,5,7,1
1,251,5,7,3
5,252,6,2,4
5,253,5,3,3
4,254,5,2,2
1,255,5,10,2
3,256,6,7,4
4,257,5,10,4
4,258,6,6,4
2,259,5,1,4
1,260,4,6,3
4,261,3,10,1
3,262,6,8,1
2,263,5,8,2
4,264,4,10,4
2,265,3,7,3
4,266,5,4,2
5,267,6,3,2
1,268,6,9,2
3,269,5,10,4
3,270,3,9,2
2,271,5,1,1
3,272,6,8,4
2,273,3,1,2
2,274,4,2,1
5,275,4,8,1
5,276,5,8,2
2,277,5,1,2
4,278,5,10,4
2,279,5,8,3
4,280,3,9,1
3,281,3,2,3
2,282,3,10,3
2,283,4,2,1
2,284,3,4,4
5,285,3,1,3
4,286,6,1,3
2,287,4,7,1
2,288,4,7,4
3,289,3,9,3
5,290,4,8,4
4,291,3,7,2
5,292,4,7,3
2,293,6,5,3
3,294,5,5,1
3,295,4,4,4
1,296,3,1,4
4,297,3,4,2
1,298,5,4,2
4,299,5,4,4
5,300,3,7,4
1,301,3,4,4
2,302,3,3,4
5,303,3,9,2
2,304,5,2,1
3,305,4,4,2
5,306,5,10,1
1,307,6,10,2
1,308,4,2,3
4,309,4,7,3
2,310,6,1,2
4,311,3,10,4
5,312,6,10,2
2,313,3,10,1
4,314,5,7,3
2,315,5,10,4
5,316,3,8,2
5,317,6,6,4
2,318,5,4,2
5,319,3,10,1
3,320,6,2,3
4,321,5,6,4
2,322,6,10,4
5,323,3,9,2
5,324,4,7,2
4,325,3,1,2
4,326,6,4,4
5,327,3,5,4
3,328,6,6,3
2,329,6,1,3
4,330,4,7,3
4,331,3,7,3
5,332,3,3,3
1,333,5,5,3
3,334,3,9,1
3,335,3,3,3
1,336,4,10,4
5,337,3,8,2
5,338,6,4,3
3,339,3,5,2
5,340,6,4,2
2,341,4,7,2
1,342,5,5,4
5,343,6,3,3
3,344,4,3,1
5,345,3,4,3
1,346,4,7,1
2,347,3,9,2
1,348,6,10,4
2,349,6,5,2
5,350,3,8,1
4,351,4,2,3
3,352,5,8,2
2,353,5,1,4
2,354,3,8,4
4,355,6,6,1
2,356,5,8,4
4,357,4,2,1
1,358,4,2,1
3,359,5,4,3
4,360,4,2,4
1,361,4,7,2
2,362,4,2,2
5,363,4,7,4
3,364,5,10,3
4,365,5,6,2
1,366,4,1,2
4,367,5,3,2
5,368,3,4,3
1,369,6,1,2
4,370,6,8,2
3,371,5,3,3
1,372,6,3,2
4,373,6,5,1
1,374,6,7,2
1,375,4,8,2
5,376,5,9,1
2,377,6,4,1
2,378,6,9,3
5,379,6,10,4
1,380,4,8,1
3,381,4,1,4
5,382,6,2,3
3,383,6,1,2
1,384,6,4,1
4,385,6,7,1
4,386,3,8,4
5,387,5,1,3
3,388,3,2,4
5,389,5,10,3
5,390,5,1,4
4,391,3,3,3
1,392,4,1,1
3,393,4,8,2
4,394,6,3,1
5,395,3,3,4
2,396,4,7,3
1,397,4,7,1
1,398,4,9,3
3,399,5,6,1
2,400,6,4,3
